Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Gustavo Da Silva Tavares,M,B,Raw,20.0,20-23,19-23,Open,47.91,49,,,,,,-100.0,100.0,103.0,,103.0,,,,,,103.0,1,106.96,110.48,109.28,69.9,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Marcos Gabriel Cruzato,M,B,Raw,15.0,13-15,14-18,Open,44.34,49,,,,,,-50.0,54.0,-57.0,,54.0,,,,,,54.0,3,60.9,63.38,62.86,38.3,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Luis Felipe Diaz Vasquez,M,B,Raw,50.0,50-54,50-59,Open,48.99,49,,,,,,-100.0,-102.0,-102.0,,,,,,,,,DQ,,,,,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Juan Carlos Ortiz Cardenas,M,B,Raw,34.0,24-34,24-39,Open,47.51,49,,,,,,-97.0,97.0,101.0,,101.0,,,,,,101.0,2,105.79,109.36,108.21,68.87,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Nestor Mendoza,M,B,Raw,55.0,55-59,50-59,Open,52.81,54,,,,,,95.0,-100.0,-100.0,,95.0,,,,,,95.0,1,89.68,91.73,90.26,61.0,Yes,Peru,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Leonardo Leon Hernandez Hernandez,M,B,Raw,34.0,24-34,24-39,Open,53.19,54,,,,,,-102.0,-102.0,-102.0,,,,,,,,,DQ,,,,,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,34.0,24-34,24-39,Open,58.05,59,,,,,,170.0,177.0,-182.0,,177.0,,,,,,177.0,1,153.57,155.66,152.29,107.77,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Javier Enrique Montenegro Cantillo,M,B,Raw,25.0,24-34,24-39,Open,58.25,59,,,,,,110.0,-115.0,-115.0,,110.0,,,,,,110.0,2,95.16,96.43,94.32,66.85,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Bruno Silva,M,B,Raw,25.0,24-34,24-39,Open,58.2,59,,,,,,94.0,98.0,102.0,,102.0,,,,,,102.0,3,88.31,89.48,87.53,62.02,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jaime Pastor Morales Rodriguez,M,B,Raw,50.0,50-54,50-59,Open,64.31,65,,,,,,,,,,147.0,,,,,,147.0,1,117.45,117.95,114.76,84.57,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Andres Mauricio Salazar Herrera,M,B,Raw,31.0,24-34,24-39,Open,61.19,65,,,,,,,,,,145.0,,,,,,145.0,2,120.45,121.49,118.51,85.74,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Niel Garcia Trelles,M,B,Raw,40.0,40-44,40-49,Open,58.79,59,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Peru,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jose David Coronel,M,B,Raw,27.0,24-34,24-39,Open,63.3,65,,,,,,,,,,136.0,,,,,,136.0,3,109.99,110.61,107.7,78.93,Yes,Argentina,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
