"Name","Country","Sex","Age","AgeClass","BirthYearClass","BodyweightKg","WeightClassKg","Event","Equipment","Division","Tested","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg","Dots","Wilks","Goodlift","Date","Year","Elite","TipoEquipo"
"Briana Carnicle","USA","F",22.5,"20-23","19-23",81.9,"82.5","SBD","Raw","FR-Jr","Yes",140,147.5,152.5,NA,80,85,-90,NA,142.5,150,152.5,NA,152.5,85,152.5,390,363.25,352.34,74.4,2022-07-16,2022,"No elite","Raw"
"Matthew Mora","USA","M",18.5,"18-19","19-23",74,"74","SBD","Raw","MR-T3","Yes",195,210,225,NA,115,130,-140,NA,-225,225,240,NA,225,130,240,595,430.57,427.99,87.35,2021-02-27,2021,"Elite","Raw"
"Daniel Wesley","USA","M",16.5,"16-17","14-18",77.8,"83","SBD","Raw","MR-V","Yes",92.5,100,107.5,NA,70,-75,75,NA,135,142.5,147.5,NA,107.5,75,147.5,330,231.39,229.38,47.21,2018-03-11,2018,"No elite","Raw"
"Harry Jeong","USA","M",16.5,"16-17","14-18",62.6,"66","SBD","Raw","MR-T2","Yes",92.5,97.5,105,NA,75,77.5,82.5,NA,107.5,112.5,117.5,NA,105,82.5,117.5,305,248.81,250.46,48.9,2019-12-07,2019,"No elite","Raw"
"Wesley Griggs","USA","M",18,"18-19",NA,96.6,"100","SBD","Raw","Juniors 18-19","Yes",-200,200,220,NA,105,-112.5,-112.5,NA,200,220,230,NA,220,105,230,555,346.9,342.68,71.28,2023-03-26,2023,"No elite","Raw"
"Ian Maughan","USA","M",21,"20-23","19-23",65.9,"67.5","SBD","Raw","MR-C","Yes",-175,-180,180,NA,95,100,105,NA,225,240,250,NA,180,105,250,535,419.66,420.6,83.46,2025-04-03,2025,"Elite","Raw"
"Jesse Ferrell","USA","M",26,"24-34","24-39",88.57,"90","SBD","Raw","Open","Yes",207.5,225,-230,NA,-165,165,170,NA,202.5,225,230,NA,225,170,230,625,407.43,402.31,83.75,2024-05-11,2024,"Elite","Raw"
"Jennifer Cronley","USA","F",31,"24-34","24-39",75.5,"82.5","SBD","Raw","OpenT","Yes",-125,125,135.5,NA,75,78,83,NA,140,150.5,161,NA,135.5,83,161,379.5,368.33,359.28,75.06,2024-12-15,2024,"No elite","Raw"
"Journel Richie","USA","M",24,"24-34","24-39",76.8,"82.5","SBD","Raw","Open",NA,-170,170,185,NA,125,137.5,142.5,NA,237.5,247.5,-265,NA,185,142.5,247.5,575,406.4,403.13,82.81,2022-09-03,2022,"Elite","Raw"
"Lucas Dunham","USA","M",31,"24-34","24-39",88.5,"90","SBD","Raw","MR-O","Yes",210,220,-227.5,NA,132.5,140,145,NA,215,225,235,NA,220,145,235,600,391.3,386.38,80.43,2023-07-29,2023,"No elite","Raw"
"Madison Thompson","USA","F",18.5,"18-19","19-23",52.62,"56","SBD","Single-ply","Girls","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.57,38.56,90.72,201.85,244.02,249.33,40.77,2014-01-18,2014,"No elite","Equipado"
"Brooke Mitchell","USA","F",33,"24-34","24-39",62.8,"67.5","SBD","Raw","Open",NA,135,145,157.5,NA,90,102.5,112.5,NA,152.5,167.5,-182.5,NA,157.5,112.5,167.5,437.5,471.45,470.99,95.91,2023-03-25,2023,"Elite","Raw"
